imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
415.333313,0.1182091907,415.333313,0.1145193428,415.333313,0.113591291,415.333313,0.1092225462,415.333313,0.1054028943,
414.666626,0.1173170134,414.666626,0.1139714792,414.666626,0.1128959507,414.666626,0.1085631847,414.666626,0.1052474082,
413.9999695,0.1164363772,413.9999695,0.1132356226,413.9999695,0.1123129502,413.9999695,0.1081248,413.9999695,0.1046708226,
413.333313,0.1157430932,413.333313,0.1126844063,413.333313,0.1119175628,413.333313,0.1076485887,413.333313,0.1045513973,
412.666626,0.114940241,412.666626,0.1119704545,412.666626,0.1111503989,412.666626,0.1071621627,412.666626,0.1039867178,
411.9999695,0.1141440868,411.9999695,0.1115019843,411.9999695,0.1107016206,411.9999695,0.1066087037,411.9999695,0.1037199721,
411.333313,0.1134029999,411.333313,0.1109921038,411.333313,0.1102102622,411.333313,0.1064350605,411.333313,0.1035367996,
410.666626,0.1128363013,410.666626,0.1104737148,410.666626,0.1098350435,410.666626,0.1059400439,410.666626,0.1034855172,
409.9999695,0.1120342389,409.9999695,0.1099226624,409.9999695,0.1091388687,409.9999695,0.1054082736,409.9999695,0.1031885147,
409.333313,0.1112425551,409.333313,0.1092498824,409.333313,0.1086988822,409.333313,0.1050070822,409.333313,0.102600947,
408.666626,0.1103955656,408.666626,0.1087826714,408.666626,0.1082479432,408.666626,0.1047112122,408.666626,0.102451019,
407.9999695,0.1096161604,407.9999695,0.1081758738,407.9999695,0.1078918427,407.9999695,0.1043496057,407.9999695,0.1021975279,
407.333313,0.1089834422,407.333313,0.1077470705,407.333313,0.107375972,407.333313,0.1039213389,407.333313,0.1020775661,
406.666626,0.1082510278,406.666626,0.1070685089,406.666626,0.1069323272,406.666626,0.103318505,406.666626,0.1015721187,
405.9999695,0.1075548306,405.9999695,0.1066815704,405.9999695,0.1064454094,405.9999695,0.1031825691,405.9999695,0.101571694,
405.333313,0.1066876277,405.333313,0.1063327715,405.333313,0.1060221195,405.333313,0.1027144641,405.333313,0.1013556272,
404.666626,0.1059043333,404.666626,0.105488494,404.666626,0.1054139137,404.666626,0.1022194773,404.666626,0.100770697,
403.9999695,0.1051331609,403.9999695,0.1050309539,403.9999695,0.1050694585,403.9999695,0.1021012738,403.9999695,0.1006467268,
403.333313,0.1046749428,403.333313,0.1046910137,403.333313,0.1050073802,403.333313,0.1017557755,403.333313,0.1005596593,
402.666626,0.104055658,402.666626,0.1044030339,402.666626,0.1045678332,402.666626,0.1014363468,402.666626,0.1004071683,
401.9999695,0.1033404693,401.9999695,0.1039106548,401.9999695,0.1041041836,401.9999695,0.1012353748,401.9999695,0.1001914814,
401.333313,0.1027907133,401.333313,0.1033349186,401.333313,0.1036350131,401.333313,0.1010121852,401.333313,0.0999596715,
400.666626,0.1019877568,400.666626,0.1030412987,400.666626,0.103352949,400.666626,0.1007145792,400.666626,0.09962465614,
399.9999695,0.1014790162,399.9999695,0.1025722623,399.9999695,0.1031460986,399.9999695,0.1004774347,399.9999695,0.09962403774,
399.333313,0.1007993594,399.333313,0.1022981629,399.333313,0.1028774753,399.333313,0.1004337519,399.333313,0.09936060756,
398.666626,0.1000337452,398.666626,0.1016584784,398.666626,0.1024333537,398.666626,0.09990913421,398.666626,0.09924728423,
397.9999695,0.09956169128,397.9999695,0.1016525179,397.9999695,0.1021913365,397.9999695,0.09987033159,397.9999695,0.09892305732,
397.333313,0.09897081554,397.333313,0.1012131199,397.333313,0.1020989865,397.333313,0.09945189208,397.333313,0.09864111245,
396.666626,0.09854710847,396.666626,0.1009613276,396.666626,0.1020855233,396.666626,0.09942384064,396.666626,0.09883233905,
395.9999695,0.09803718328,395.9999695,0.1004309505,395.9999695,0.1014278457,395.9999695,0.09914999455,395.9999695,0.09850232303,
395.333313,0.09773752838,395.333313,0.1003997624,395.333313,0.1015515849,395.333313,0.09922359884,395.333313,0.09840444475,
394.666626,0.09715586156,394.666626,0.1001617461,394.666626,0.1012679935,394.666626,0.0991242677,394.666626,0.09850030392,
393.9999695,0.09708551317,393.9999695,0.1002947465,393.9999695,0.1014496833,393.9999695,0.0992051214,393.9999695,0.09847351164,
393.333313,0.09642769396,393.333313,0.09953285009,393.333313,0.1010429561,393.333313,0.09890030324,393.333313,0.09797629714,
392.666626,0.09582915902,392.666626,0.09961736202,392.666626,0.1009374559,392.666626,0.09890687466,392.666626,0.09805771708,
391.9999695,0.0957987234,391.9999695,0.09942253679,391.9999695,0.1009677649,391.9999695,0.0988734588,391.9999695,0.09801892191,
